"Q","SERIES_CODE","total_search","sum_link","sum_linkCtg","total_codefix","total_tabcount","links_by_series"
"springs",110302287970,127,56,63,1,13,5
"springs",110302142460,127,56,63,1,4,3
"springs",110302288760,127,56,63,1,4,2
"springs",110300142740,127,56,63,1,2,1
"springs",110300268740,127,56,63,1,8,5
"springs",110300268470,127,56,63,1,23,14
"bstfh",110300595910,10,6,0,1,16,6
"spherical stop pin",110300595910,1,3,0,3,12,3
"stepper motor",110302499370,11,4,7,1,2,1
"htpa50",110300405940,2,1,0,1,2,1
"locating pins",110300556960,167,123,74,3,14,5
"jprsb8-8",110300556960,1,1,0,1,4,1
"round tapered locating pins",110300556960,1,1,0,0,4,1
"locating pins",110301963350,167,123,74,1,19,10
"sfpcha4",110301963350,2,2,0,2,6,2
"locating pins",110300558270,167,123,74,1,4,3
"hkfqahh6",110300561610,1,1,0,1,2,1
"locating pins",110300561610,167,123,74,2,6,4
"floating joint",110300365250,68,96,11,4,15,9
"floating joint",110302010340,68,96,11,3,22,9
"floating joint",110300354660,68,96,11,2,13,5
"floating joint",110300366830,68,96,11,2,8,4
"floating joint",110302006570,68,96,11,1,12,7
"floating joint",110300367620,68,96,11,1,18,4
"floating joint",110300354840,68,96,11,2,8,4
"fjclm",110300366830,2,1,0,0,3,1
"linear bushing",110300027060,47,33,3,1,1,1
"linear bushing",110302150770,47,33,3,1,4,1
"linear bushing",110302150430,47,33,3,2,6,4
"linear bushing",110302150610,47,33,3,2,5,3
"linear bushing",110300026540,47,33,3,3,38,11
"slmu8",110300026540,1,1,0,1,5,1
"u-fj",110302172470,9,1,0,1,1,1
"u-fjc",110302172470,52,26,0,6,17,9
"bearing",110302462360,388,44,250,2,10,6
"bearing",110302273450,388,44,250,1,5,2
"bearing",110300115440,388,44,250,1,1,1
"sb676zz",110302273360,3,4,0,2,8,4
"bearing",110302273360,388,44,250,1,4,3
"bearing",110300107560,388,44,250,1,2,2
"spring",110300268740,348,126,221,4,28,13
"spring",110302306960,348,126,221,1,12,8
"compression",110300268740,4,4,1,0,4,1
"spring",110302288240,348,126,221,4,16,6
"spring",110302287970,348,126,221,2,16,8
"uy10-40",110300268740,1,1,0,1,2,1
"spring",110300268470,348,126,221,1,43,22
"spring",110302288060,348,126,221,1,3,3
"spring",110302288150,348,126,221,2,3,3
"spring",110200141940,348,126,221,1,1,1
"compression spring",110300268470,87,62,29,2,44,21
"compression spring",110300268560,87,62,29,1,8,2
"compression spring",110300268740,87,62,29,5,37,23
"uf5-20",110300268740,1,1,0,1,3,1
"compression spring",110302142460,87,62,29,3,17,14
"compression spring",110300268650,87,62,29,1,5,1
"vul16-60",110302142460,1,1,0,1,2,1
"end stop",110300598710,7,1,0,1,2,1
"svrd28-460",110300057340,2,1,0,0,4,1
"sv2rd28-940",110300057340,2,2,0,2,5,2
"atp12xl025-b-p5",110300405510,5,3,0,3,3,3
"atp12xl025-b-p6",110300405510,3,1,0,1,1,1
"epj",110200003250,29,18,0,4,43,18
"epj8-500-ncw",110200003250,1,1,0,1,5,1
"cmajl",110300137840,8,2,0,1,4,2
"egbn20-10",110200099850,0,1,0,1,2,1
"hbpg30-n10-11",110300417930,1,1,0,1,2,1
"hbpg",110300417930,4,1,0,0,2,1
"fram1a20",110300279940,0,1,0,1,1,1
"shat",110300013940,6,4,0,1,5,4
"sha",110300013940,17,5,0,2,14,5
"sham",110300013940,0,2,0,2,3,2
"hollow shaft",110300006240,36,28,7,6,53,20
"hollow shaft",110300007030,36,28,7,1,3,2
"linear guide",110300042820,36,9,20,2,8,2
"u-fjcn",110302173350,5,7,0,3,13,7
"lbnr3",110300250540,6,5,0,5,5,5
"nsf",110300349850,2,1,0,1,1,1
"pasus",110300493620,9,7,0,3,9,7
"pasus6h-728-728-2.5-",110300493620,0,1,0,1,1,1
"pasus6h",110300493620,0,2,0,1,2,2
"pasus6h-730-495-1.5-f340-g182-n8",110300493620,0,2,0,2,2,2
"pmsus6h",110300493620,0,1,0,1,1,1
"pasus6h-730-495-1.5-f340-g182-n5",110300493620,0,1,0,1,1,1
"pasus4h-728-728-3-f680-g680-n5",110300493620,0,1,0,1,1,1
"pasus4h-728-728",110300493620,1,1,0,0,1,1
"pasus4h",110300493620,0,1,0,0,1,1
"pasus4h-728-728-3-0-0",110300493620,1,1,0,0,1,1
"cimr",110302399360,21,9,0,3,14,9
"cimr6",110302399360,2,2,0,2,4,2
"cimr10",110302399360,2,2,0,1,2,2
"plunger",110300142830,93,83,30,1,10,3
"plunger",110300146060,93,83,30,4,20,8
"plunger",110300142740,93,83,30,2,21,9
"plunger",110300144750,93,83,30,2,5,3
"plunger",110302018220,93,83,30,2,11,5
"plunger",110302244140,93,83,30,1,3,2
"egha",110200099760,2,1,0,1,2,1
"egha20",110200099760,1,1,0,1,2,1
"u-fjc",110302173350,52,26,0,2,2,2
"u-fjc",110302172830,52,26,0,1,63,15
"u-fjc-h",110302172830,2,1,0,1,2,1
"mtsrk16-214-f12-r10-t30-q12-s21-e10-ar8-mr4-bq10-ke2-c16",110300083240,1,1,0,1,2,1
"mtsrk",110300083240,6,5,0,3,8,5
"netws4",110300258420,6,5,0,3,7,5
"netws4 rtnr e ext 4mm",110300258420,1,1,0,1,1,1
"lmu5",110300026540,4,2,0,2,2,2
"hblud5",110300437440,3,3,0,3,8,3
"msccn50-50",110300353170,1,1,0,1,3,1
"at10",110300411970,11,12,0,2,3,2
"at10",110302193920,11,12,0,4,18,9
"nut",110302247730,139,42,56,1,2,1
"washer",110300231640,361,125,252,3,43,24
"washer",110300031260,361,125,252,3,22,10
"washer",110300031530,361,125,252,2,26,22
"washer",110300240740,361,125,252,1,2,2
"washer",110302302330,361,125,252,1,1,1
"hblt",110300417660,27,9,0,2,6,5
"hblt",110300450830,27,9,0,1,2,1
"hbltd5",110300437870,1,2,0,2,2,2
"u-bgp",110302160750,3,3,0,1,9,3
"u-scsp1.00",110302155240,1,2,0,2,4,2
"split shaft collar",110302155240,4,11,0,1,5,4
"fjy",110300370150,2,1,0,1,1,1
"nfj",110300507870,11,2,0,2,4,2
"nfjn",110300507870,43,17,0,3,9,5
"nfjn",110302388250,43,17,0,1,9,6
"nfjn",110300476370,43,17,0,1,10,6
"bnbs10",110300114470,2,2,0,2,2,2
"rbyw",110300541220,2,2,0,1,4,2
"stud",110300247310,43,23,16,5,23,11
"stud",110300247220,43,23,16,2,14,11
"rsbm4",110300247310,1,1,0,1,2,1
"washers",110300031260,91,45,51,1,1,1
"washers",110300231640,91,45,51,1,21,10
"hntpz5-5",110302247640,27,22,0,21,36,22
"hntpz5",110302247640,1,1,0,1,6,1
"hntp5-3",110302247640,3,3,0,2,5,3
"gts3",110300252640,8,5,0,4,6,5
"gts5",110300252640,6,2,0,2,2,2
"geabh",110300429040,5,2,0,2,3,2
"metal sheet",110300494410,2,2,0,0,4,1
"pdsphc4h",110300494410,4,8,0,3,29,8
"fgss22150b",110300269710,10,6,0,5,13,6
"handle",110300515840,159,77,83,6,38,15
"handle",110300514620,159,77,83,2,22,9
"lrgb6-100-b",110300514620,1,1,0,1,4,1
"grafc6",110300515840,1,2,0,1,7,2
"handle",110300516270,159,77,83,1,6,3
"knob",110300514620,105,97,22,3,19,8
"handle",110300516020,159,77,83,1,4,2
"bgsna6902",110302024430,1,1,0,1,2,1
"mtsr8-300",110300082540,13,14,0,12,29,14
"hflbs5-650",110300466050,14,9,0,9,18,9
"jbam",110300132760,9,5,0,1,13,5
"hfs5-2080",110302368920,10,8,0,5,19,8
"gears",110300428430,69,47,24,5,19,8
"gears",110300428250,69,47,24,4,29,12
"gears",110300428610,69,47,24,1,1,1
"gears",110302194440,69,47,24,1,9,4
