"Q","total_search","sum_linkCtg","sum_link","total_codefix"
"pkws",14,0,7,7
"hfsf5-2040-370",14,0,13,11
"tapered pin",14,2,9,2
"selbw",14,0,6,3
"hl",14,0,1,6
"upcn19-b-36",14,0,7,4
"ball plungers",14,5,17,1
"urethane washer",14,0,35,3
"hccg",14,0,9,5
"pipe fitting",14,1,6,1
"bman",14,0,6,5
"precision shaft",14,0,15,1
"keyless bushing",14,7,10,3
"shhpsl5-2",14,0,10,5
"slide rail",14,6,15,4
"m5",14,0,2,0
"linear actuator",14,0,0,0
"t-slot",14,0,2,0
"grippers",14,2,16,0
"drill",14,0,2,0
"threaded spacer",14,0,5,0
"pneumatic",14,4,3,0
"captive screws",14,0,0,0
"shim stock",14,0,0,0
"strut",14,0,7,0
"hole plug",14,0,7,0
"fwssc",13,0,6,5
"awy",13,0,3,6
"lvb",13,0,6,5
"swb",13,0,6,9
"geakbh",13,0,6,5
"mswt",13,0,6,6
"mhpus",13,0,7,5
"sbcp",13,0,3,8
"fxaa",13,0,8,3
"llt",13,0,6,4
"str",13,0,1,4
"kj",13,0,0,5
"ls",13,0,0,3
"scd",13,0,4,6
"upcn",13,0,3,5
"hxc",13,0,0,3
"lb",13,0,1,5
"lpa",13,0,0,5
"hosn",13,0,6,7
"mtsr8-300",13,0,14,7
"hfc5",13,0,4,7
"mf",13,0,0,3
"aikcfb",13,0,10,9
"hfbcm",13,0,2,5
"cim",13,0,1,3
"t-nut",13,0,9,4
"rncb",13,0,8,4
"roco",13,0,6,8
"timing",13,3,5,2
"servo",13,4,14,4
"bjp",13,0,3,3
"selb",13,0,6,5
"ajkc",13,0,9,5
"slsbg",13,0,10,5
"pls",13,0,1,5
"saip",13,0,1,6
"bnfb",13,0,2,1
"cfs",13,0,8,9
"hblfs8",13,0,12,5
"pkws3",13,0,13,6
"mpbr",13,0,3,5
"sfj10",13,0,6,8
"hxub",13,0,0,1
"er",13,0,0,5
"rd",13,0,0,2
"mca",13,0,9,8
"hhta",13,0,0,5
"shaft mount",13,0,8,1
"pipe clamp",13,0,13,1
"hntt5",13,0,13,5
"hfs6-6060",13,0,11,1
"round belt",13,7,5,1
"pssfj",13,0,6,7
"swp",13,0,5,4
"sncs",13,0,6,5
"hfsb5-2020-500",13,0,11,9
"aluminum shaft",13,0,7,1
"awss",13,0,4,4
"pi",13,0,0,1
"plain bearing",13,0,12,1
"bearing with housing",13,6,3,2
"uhmw",13,0,8,1
"elnba20",13,0,9,3
"stopper block",13,8,6,1
"prkm",13,0,8,1
"sgppe",13,0,11,10
"resin washers",13,2,32,1
"idler pulley",13,4,13,4
"m8",13,0,0,1
"spring anchors",13,0,18,2
"sls",13,0,1,3
"jpdb",13,0,5,4
"msrb",13,0,5,6
"heater",13,1,10,2
"smkb",13,0,7,1
"circular post",13,0,17,2
"cxs",13,0,2,1
"gut",13,0,0,2
"wsjj",13,0,9,3
"shc",13,0,4,3
"1515",13,0,0,1
"hand wheels",13,0,12,1
"angle plates",13,8,5,4
"hfs5-2020-160",13,0,15,8
"seals",13,5,16,2
"oil free bushing",13,4,6,3
"ex",13,0,1,3
"msb12",13,0,7,4
"guides",13,5,2,0
"locate pin",13,6,1,0
"hard stop",13,0,0,0
"2020",13,0,5,0
"stainless steel tubing",13,0,6,0
"gear box",13,0,0,0
"socket",13,3,0,0
"chuck",13,5,2,0
"spj",13,0,7,0
"cap screws",13,9,1,0
"die spring",13,4,2,0
"pinion",13,0,4,0
"valve",13,13,5,0
"tension",13,8,3,0
"stpd",13,0,2,0
"msy",12,0,8,7
"shcdg",12,0,6,9
"fa",12,0,1,1
"lc",12,0,1,4
"sk",12,0,1,7
"lhgs",12,0,10,7
"cbm5-10",12,0,8,6
"se2b",12,0,5,6
"che",12,0,3,3
"scxw",12,0,8,7
"fpb",12,0,0,3
"us",12,0,0,6
"urethane bumpers",12,0,13,2
"jpct",12,0,3,6
"pxyk",12,0,3,7
"pxkn12",12,0,12,2
"flat head",12,3,1,1
"flat head screw",12,2,6,1
"bj",12,0,2,5
"gfp",12,0,1,5
"msip",12,0,4,3
"ssfjt",12,0,11,9
"pdsph",12,0,0,5
"mtsb",12,0,1,5
"ssebsn",12,0,10,2
"scdg",12,0,6,4
"u-sfam",12,0,7,5
"hxmn",12,0,0,2
"lpal",12,0,2,3
"hcdgh",12,0,6,2
"hclgn",12,0,9,5
"nf",12,0,0,4
"pdsphc4h-1166-356-0.8-f1110-g340-n5-un10-xc8-yc8",12,0,7,6
"lrgn",12,0,5,5
"hfs5-2020-200",12,0,9,9
"stages",12,2,6,2
"mtsfr8",12,0,12,7
"mc02",12,0,5,7
"cpjc",12,0,3,7
"dp",12,0,1,4
"sfrra",12,0,9,4
"mpbp",12,0,0,2
"hnkk5",12,0,8,8
"urethane bumper",12,0,22,3
"ap",12,0,1,1
"cfua",12,0,7,4
"pack-wvws",12,0,7,5
"sr",12,0,0,5
"mpbzp",12,0,0,1
