"Q","cat_name_1","cat_name_2","cat_name_3","cat_name_4","cat_name_5","SERIES_CODE","total_search","sum_link","sum_linkCtg","LinkCtg","total_codefix_linkCtg"
"pin","Components/Peripheral Components","Components for Guide Lifters","Pushing Pins",,,,291,84,172,2,0
"pin","Components/Peripheral Components","Components for Automobile Dies","Link Components For Hemming Dies","Hinge Pins",,,291,84,172,2,0
"pin","Components/Peripheral Components","Components","Dowel Pins",,,,291,84,172,2,0
"pin","Components/Peripheral Components","Locating Components for Automobile Dies","Locating Pins",,,,291,84,172,2,0
"pin","Adjusting, Fastening,  Magnets","Retaining Rings, Pins, Machine Keys",,,,,291,84,172,2,0
"pin","Components/Peripheral Components","Locating Components for Automobile Dies","Push-Out Pins",,,,291,84,172,2,0
"pin","Rotary Power Transmission","Chains, Sprockets","Idler Pins",,,,291,84,172,2,0
"pin","Punches & Dies","Punches","Components for Punches","Jector Pin Sets",,,291,84,172,2,0
"pin","Leader Components, Components for Ejector Space","Leader Components","Support Pins",,,,291,84,172,2,0
"pin","Accessories, Others","Dowel Pins",,,,,291,84,172,1,0
"pin","Components/Peripheral Components","Inspection Jig Components","Locating Bars For Tapping Positions",,,,291,84,172,1,0
"pin","Leader Components, Components for Ejector Space","Components for Positioning","Tapered Pin Spacer",,,,291,84,172,1,0
"pin","Components/Peripheral Components","Components for Guide Lifters","Stripper Pressure Pins",,,110100144730,291,84,172,1,1
"pin","Components/Peripheral Components","Components for Guide Lifters","Lifter Pins",,,,291,84,172,1,0
"pin","Components/Peripheral Components","Components for Guide Lifters","Lifter Pins",,,110100148660,291,84,172,1,1
"pin","Guide Components","Stripper Guide Pins and Bushings",,,,110100152160,291,84,172,1,1
"pin","Leader Components, Components for Ejector Space","Leader Components","Leader Pins",,,,291,84,172,1,0
"pin","Accessories, Others","Spring Guide Pins",,,,,291,84,172,1,0
"pin","Ejector Pins",,,,,,291,84,172,1,0
"pin","Pipe, Tubes, Hoses & Fittings","Resins, Ducts, Flexible Hoses","Piping Parts for Duct Hoses",,,,291,84,172,1,0
"pin","Core Pins","Straight Core Pins",,,,,291,84,172,1,0
